"","play_id","play_time","weather_time","condition","temp","wind_dir","wind_speed","precip"
"129",3124,2018-09-06 23:25:53,2018-09-06 23:37:00,"Fair",78,"S",6,0
"130",3160,2018-09-06 23:26:51,2018-09-06 23:37:00,"Fair",78,"S",6,0
"131",3181,2018-09-06 23:27:49,2018-09-06 23:37:00,"Fair",78,"S",6,0
"132",3203,2018-09-06 23:28:48,2018-09-06 23:37:00,"Fair",78,"S",6,0
"133",3225,2018-09-06 23:29:46,2018-09-06 23:37:00,"Fair",78,"S",6,0
"134",3257,2018-09-06 23:30:44,2018-09-06 23:37:00,"Fair",78,"S",6,0
"135",3279,2018-09-06 23:31:42,2018-09-06 23:37:00,"Fair",78,"S",6,0
"136",3303,2018-09-06 23:32:40,2018-09-06 23:37:00,"Fair",78,"S",6,0
"137",3320,2018-09-06 23:32:40,2018-09-06 23:37:00,"Fair",78,"S",6,0
"138",3350,2018-09-06 23:34:36,2018-09-06 23:37:00,"Fair",78,"S",6,0
"139",3371,2018-09-06 23:35:34,2018-09-06 23:37:00,"Fair",78,"S",6,0
"140",3392,2018-09-06 23:36:32,2018-09-06 23:37:00,"Fair",78,"S",6,0
"141",3418,2018-09-06 23:37:30,2018-09-06 23:37:00,"Fair",78,"S",6,0
"142",3439,2018-09-06 23:38:29,2018-09-06 23:37:00,"Fair",78,"S",6,0
"143",3460,2018-09-06 23:39:27,2018-09-06 23:37:00,"Fair",78,"S",6,0
"144",3481,2018-09-06 23:40:25,2018-09-06 23:37:00,"Fair",78,"S",6,0
"145",3507,2018-09-06 23:41:23,2018-09-06 23:37:00,"Fair",78,"S",6,0
"146",3531,2018-09-06 23:42:21,2018-09-06 23:37:00,"Fair",78,"S",6,0
"147",3553,2018-09-06 23:43:19,2018-09-06 23:37:00,"Fair",78,"S",6,0
"148",3569,2018-09-06 23:43:19,2018-09-06 23:37:00,"Fair",78,"S",6,0
"149",3584,2018-09-06 23:43:19,2018-09-06 23:37:00,"Fair",78,"S",6,0
"150",3605,2018-09-06 23:46:13,2018-09-06 23:54:00,"Fair",78,"S",6,0
"151",3626,2018-09-06 23:47:12,2018-09-06 23:54:00,"Fair",78,"S",6,0
"152",3661,2018-09-06 23:48:10,2018-09-06 23:54:00,"Fair",78,"S",6,0
"153",3678,2018-09-06 23:48:10,2018-09-06 23:54:00,"Fair",78,"S",6,0
"154",3700,2018-09-06 23:50:06,2018-09-06 23:54:00,"Fair",78,"S",6,0
"155",3736,2018-09-06 23:51:04,2018-09-06 23:54:00,"Fair",78,"S",6,0
"156",3758,2018-09-06 23:52:02,2018-09-06 23:54:00,"Fair",78,"S",6,0
"157",3791,2018-09-06 23:53:00,2018-09-06 23:54:00,"Fair",78,"S",6,0
